,Text,target,charcaters_count,words_count,sentence_count
39,"‏الشيخ الشعراوى قال""حذارى أن تمل من الصبر فلو شاء لحقق لك مرادك فى طرفة عين هو لا تخفى عليه دموع رجائك ولا زفرات همك هو لا يعجزه إصلاح حالك يحب السائلين بالحاح اليس يقول إنى جزيتهم اليوم بما صبروا لم يقل بما صاموا أو بما صلو او بما تصدقوا وذلك لأن الصبر عبادة تؤديها وانت تنزف وجعا فقط اصبر ولگ الاجر من ارحم الراحمين.

الوتر-جنة-القلوب
",ham,337,68,2
40,ورشة عمل تعنى بايضاح الطرق والوسائل التي يحتاج اليها الخريج للتميز في مستقبله العلمي والعملي يقدم الورشة الدكتور / خالد بدوي - قسم الطلاب  يوم الاثنين 18 / 3 / 1440هـ - (مقرات الاندية الطلابية) عمادة شؤون الطلاب - 12.30م الى 4 م الدكتورة / شيرين الشريف - قسم الطالبات يوم الأحد 10 / 3 / 1440هـ - المسرح مبنى 7 - من الساعة 10 ص الى 2 م https://docs.google.com/forms/d/e/1FAIpQLSexfzhbgp0Nzp_Pd71X6prDiIZvCleZ_0lJCilgzKVRD9yE9A/viewform?usp=pp_url,ham,445,76,1
41,اللهم يامن اطلقت السماء بالخيرات ... واجريت السحب فسالت الاودية والممرات... وغمرت الأرض بالغيث والزخات ...نسألك يالله مع كل قطرة مطر ان تشرح صدورنا وتيسر امورنا وتشفي مرضانا وترحم موتانا وتقضي حاجاتنا وتفرج همومنا وتكشف غمومنا وتبارك لنا في ابناءنا وانفسنا واموالنا ، وان تنصر جنودنا وتحمي اوطاننا وتحسن خاتمتنا وتردنا اليك رداً جميلاًوتجعل الجنة مقرنا ووالدينا وجميع موتى المسلمين انك على كل شئ قدير..... آمين,ham,410,69,1
42,وزارة التعليم  بعد تمكينها من إعلان وظائفها تدعو الخريجين والخريجات لشغل (٨٣١) من #الوظائف التعليمية الشاغرة.  https://www.moe.gov.sa/ar/news/Pages/831-oc.aspx,ham,159,23,2
43,"صدقه جاريه  عن ..............  رحمه الله 🔵 لا تترك قريب ولا صديق ولا احد تعرفه إلا وارسلت له هذا المصحف.
حتى يكتب لك مثل اجورهم 
المصحف كاملا مع تفسيره 
ويتم قلب الصفحات بلمس الشاشه
   http://quran.ksu.edu.sa/m.php?l=ar#aya=1_1
   اختيارالصوت+ تلاوه+ ترجمه+ تفسير 
ليس هناك أغلى منه كهدية و صدقه جارية لتعم الفائدة ان شاء الله.",ham,327,60,2
44,"الصباح بدايـات هـادئـة ودعـوات تُـرفع للسـماء , ربـّي اجـعل ايـامَنا كلـهآا خـير",ham,80,12,1
45,الاستغفار ؛ ‏إزالة هم ، و تفريج غم ، ‏وتكفير ذنب ، و اطمئنان قلب ‏- استغفر الله العظيم و اتوب إليه,ham,98,22,1
46,كتاب كفايات الحاسب الآلي (النسخة 2) للعام 2018 لشرح جميع المعايير بالاضافة لنماذج اسئلة من الاعوام السابقة  ‏للتحميل من هنا https://drive.google.com/open?id=1jcDdof2RK8FoHPFVIyMBiEXi6g5Yrjco,ham,190,27,1
47,ما لا تعرفه عن القهوة  https://youtu.be/jlT2kT55AwQ,ham,51,8,1
48,معلومات طبية  https://www.instagram.com/p/BtqDtqmA7Sw/?utm_source=ig_share_sheet&igshid=1hei35a8bggsx,ham,101,9,1
49,"فرصه
موسسة مكة تطرح فرصة كفالة يتيم
 
اكفل يتيم بـ (١٢٥) ﷼ شهريا أو (١٥٠٠) في السنه عن طريق مؤسسة مكة المكرمة الخيرية الرقم الموحد :
- رجال:٩٢٠٠٠٠٩٠٣ 
- نساء: ٩٢٠٠٠٠٩٠٦
-	*ملاحظة : ان ارسلتهإ فقَد تكفل أكثر منِ يتيم دوَن أن تدَفع شيء،،،فقط اجعل نيتك لله*
-	—————————",ham,266,57,1
50,عزیزي العمیل الصراف الآلي الخاص بك محظور فا تصل ھذا الرقم ٠٥٣١٣٦٩١١٣,spam,68,12,1
51,عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد.اتصل بھذا الرقم على الفور للتحدیث ٠٥٩٤٤٥٢٤١٣,spam,117,20,2
52,عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد.اتصل بھذا الرقم على الفور للتحدیث، ٠٥٩٧٧٢٣٢٩٣ ٠٥٦٣٥٢٠٧٧٦,spam,129,21,2
53,عزیز العمیل تم إغلاق بطاقھ الصرف الخاص بك محظور إذا كنت ترغب في تحدیث حسابك اتصل بھذه الأرقام 0561108380 0593374138,spam,115,20,1
54,"راتب إضافي 37,200  بدون ترك عملك! ابدأ الآن https://bit.ly/2Tjfhgl",spam,66,12,2
55,تنزيلات ردتاغ 20% الى 50% اكتشفوا التشكيلة https://bit.ly/2HbHZJu,spam,65,12,1
56,عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد.اتصل بھذا الرقم على الفور للتحدیث ٠٥٠٧٤٩٤٤٨1,spam,117,20,2
57,عزيز العميل تم حظر بطاقة الصراف اللآلي الخاصة بك. لأنك لا تملك التحديث بعد. اتصل  بهذا الرقم على الفور للتحديث. 0558526232/0531268115,spam,133,24,4
58,قیّم الخدمات الحكومیة وساھم في بناء الوطن !حمل تطبیق وطني الآن http://bit.ly/2SfA3fm,spam,84,15,1
59,خاص متقاعد ضاعف ثروتھ خلال شھرین http://bit.ly/2vAdwRy,spam,54,9,1
60,عزیزی العمیل تُم إغلَاق بَطَاقَة اَلصَرَاف اَلَالی الخَاصَة بک اذَا کنتَ ترغَب تِحدِیث اِتصَأل بھذه الرَقَم 0596577303,spam,118,17,1
61,عزیز العمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد. اتصل (بھذا الرقم على الفور 0552347310 0596866932,spam,123,24,3
62,عزیزالعمیل. تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لم یكن لدیك حتى الآن التحدیث. إذا كنت ، ترید عمل بطاقة الصراف الآلي الخاصة بك بشكل صحیح ، فاتصل بھذا الرقم على الفور. ٠٥٣٠٢٣٩٨٥١ = ٠٥٩٥٧٤٠٥٨٦,spam,195,40,5
63,"نوال عايض, دخل إضافي في الاستثمار عبر النت http://bit/ly/20jvl9k ",spam,65,12,1
64,مبروك لقد فزت معانا بملیون ﷼ لاستلام الجائزة نرجو التواصل على,spam,61,11,1
65,عزیزالعمیل ! تم حظر بطاقة الصراف الألي الخاصة بك، لأنك لم یكن لدیك حتى الآن التحدیث. إذا كنت ترید عمل بطاقة الصراف الألي الخاصة بك بشكل صحیح، فاتصل بھذا الرقم على الفور، ٠٥٣٣٨٦٨٨٧٨,spam,180,34,3
66,"حقق راتب إضافي 38,170 ﷼ على طریقة رنده
https://bit.ly/2MM7tk8",spam,61,11,1
67,عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لم یكن لدیك حتى الآن التحدیث. إذا كنت ، .ترید عمل بطاقة الصراف الآلي الخاصة بك بشكل صحیح ، فاتصل بھذا الرقم على الفور ٠٥٦٨٩٧٤٩٣٥=٠٥٦٤٤٨٥٢٥١,spam,192,36,3
68,خاص (*****). افتح حساب استثمار تمیز عبر النت http://bit.ly/2rHkPoj,spam,66,18,2
69,"Dear coustomer you have won a prize 200000 Two Hundred
thousand Riyal from panda Hypermarket so very happy great
congratulations this is Ramzan lucky draw offers so you can
contact us on this number of
0597136818
imo numbers
0597136818
عزیزي كوستومر كنت قد حصلت على جائزة 200000 مئتي ألف ﷼ من ھایبر بنده ماركت جدا تھنئة كبیرة جدا ھذا ھو السحب محظوظ الترویجیة رمضان كریم سعیدة حتى تتمكن من الاتصال بنا على ھذا العدد من 0597136818",spam,428,76,1
70,"عزیزی العمیل حَظِر بَطاَقَة اَلصِراَف اَلخَاصِة بّك اِذْا كُنت تَریدَ تَحدیِث بَطاَقَة ،فَاتصِل ھْذّا
الرَقمّ
0597516278
0594389853",spam,131,17,1
71,"هام غدا المملكة تطلق التوظيف الإلكتروني في عده وزارات وجهات حكومية لكافة الخريجين و الخريجات والشباب السعودي  تنفيذا لروية 2030  

 http://www.2030-jobs.com/2018/11/gov.2020.html  

 ??????اخي المواطن / اختي المواطنة????
قال تعالي( وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَى ) 
*نرجو تكرماً* التعاون مع الباحثين والعاطلين بنشرك اعلان التوظيف للقروبات والحسابات لتعم الفائدة.",spam,373,62,4
72,"مولات ایكیا تقدم قسیمة شرائیة مجاناً بمناسبة عید الأضحى المبارك ومرور 75 سنة * << على تأسیسھا , سارع وأحصل على قسیمتك قبل نفاذ الكمیة من ھنا http://bit.ly/Ikea-Store",spam,165,31,1
73,"راتب إضافي 27,200  بدون ترك عملك! ابدأ الآن https://bit.ly/2DPNgsT",spam,66,12,2
74,عزیزي العمیل نرجو تحریث بیاناتك البنكیة عدم تحدیثھا سیوقف جمیع الخدمات الخاصة بحسابك لتحدیث بیاناتك فورا الرجاء الاتصال على الرقم التالي,spam,136,21,1
75,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,111,24,2
76,Ok lar... Joking wif u oni...,ham,29,8,2
77,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,155,37,2
78,U dun say so early hor... U c already then say...,ham,49,13,1
79,"Nah I don't think he goes to usf, he lives around here though",ham,61,15,1
80,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",spam,148,39,4
81,Even my brother is not like to speak with me. They treat me like aids patent.,ham,77,18,2
82,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,160,31,2
83,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,158,32,5
84,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,154,31,3
85,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,109,28,2
86,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,136,31,3
87,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,156,32,3
88,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,196,41,3
89,I HAVE A DATE ON SUNDAY WITH WILL!!,ham,35,10,2
90,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,149,28,2
91,Oh k...i'm watching here:),ham,26,9,1
92,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,81,22,3
93,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham,58,14,2
94,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",spam,156,28,2
95,Is that seriously how you spell his name?,ham,41,9,1
96,IÛ÷m going to try for 2 months ha ha only joking,ham,49,11,1
97,So Ì_ pay first lar... Then when is da stock comin...,ham,53,13,1
98,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,88,23,3
99,Ffffffffff. Alright no way I can meet up with you sooner?,ham,57,13,2
100,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,144,35,6
101,Lol your always so convincing.,ham,30,6,1
102,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,134,34,5
103,"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,75,22,1
104,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,64,16,5
105,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,130,30,1
106,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,189,48,6
107,K tell me anything about you.,ham,29,7,1
108,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,84,18,2
109,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,159,30,2
110,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,123,30,1
111,"Oops, I'll let you know when my roommate's done",ham,47,12,1
112,I see the letter B on my car,ham,28,8,1
113,Anything lor... U decide...,ham,27,6,1
114,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,155,37,4
115,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,82,20,4
116,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,142,35,4
117,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,172,34,2
118,WHO ARE YOU SEEING?,ham,19,5,1
119,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,72,22,3
120,No calls..messages..missed calls,ham,32,7,1
121,Didn't you get hep b immunisation in nigeria.,ham,45,10,1
122,"Fair enough, anything going on?",ham,31,7,1
123,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,67,16,1
124,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,148,37,4
125,What you thinked about me. First time you saw me in class.,ham,58,14,2
126,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,124,35,1
127,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,80,17,1
128,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham,291,69,6
129,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,120,27,5
130,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,76,20,2
131,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,161,37,7
132,"Sorry, I'll call later in meeting.",ham,34,9,1
133,Tell where you reached,ham,22,4,1
134,Yes..gauti and sehwag out of odi series.,ham,40,10,1
135,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,108,29,3
136,Ha ha ha good joke. Girls are situation seekers.,ham,48,11,2
137,Its a part of checking IQ,ham,25,6,1
138,"Sorry my roommates took forever, it ok if I come by now?",ham,56,14,1
139,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,110,26,2
140,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam,153,31,2
141,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",ham,124,29,2
